,Precision,Recall,F1- Score ,Support
,0.81,1,0.89,21
,0.84,0.89,0.86,35
,0.67,0.67,0.67,18
,0.5,0.54,0.52,13
,0.64,0.56,0.6,16
,0.33,0.1,0.15,10
,0.5,0.75,0.6,8
,0.25,0.33,0.29,6
,0.5,0.33,0.4,9
,0.33,0.2,0.25,5
,0.4,0.5,0.44,4
,0.33,0.25,0.29,4
,0,0,0,1
,0,0,0,7
,0.5,1,0.67,3
,0.33,0.25,0.29,4
,0,0,0,6
,0,0,0,3
,0,0,0,0
,0,0,0,1
,0,0,0,1
,0,0,0,1
,0,0,0,0
,0,0,0,2
,0,0,0,0
,1,0.5,0.67,2
,,,,
,,,,
Micro AVG ,0.53,0.53,0.53,200
Macro AVG,0.16,0.18,0.16,200
Weighted AVG,0.53,0.53,0.52,200
